sku,meta:_sku,post_title,post_status,post_type,Type: product_type,tax:product_type,tax:product_cat,tax:product_tag,regular_price,sale_price,meta:_price,manage_stock,stock_status,images,attribute:pa_style,attribute_default:pa_style,attribute_data:pa_style,attribute:pa_sex,attribute_default:pa_sex,attribute_data:pa_sex,attribute:pa_color,attribute_default:pa_color,attribute_data:pa_color,attribute:pa_size,attribute_default:pa_size,attribute_data:pa_size,attribute:pa_material,attribute_data:pa_material,attribute:pa_print,attribute_data:pa_print,attribute:pa_wash,attribute_data:pa_wash,attribute:pa_default_style,attribute_data:pa_default_style,meta:_wc_average_rating,meta:_wc_rating_count,meta:_wc_review_count,meta:_stock_status,post_content,post_excerpt
ART-0380-HD,ART-0380-HD,این زندگی توست,publish,product,product,variable,سریال و فیلم باز>فیلم,#David_Fincher|#Fight_club,120000,,120000,no,instock,ART-0380-TS-color1.jpg|ART-0380-TS-color1-men.jpg|ART-0380-TS-color1-women.jpg|ART-0380-TS-color2.jpg|ART-0380-TS-color2-men.jpg|ART-0380-TS-color2-women.jpg|ART-0380-TS-color3.jpg|ART-0380-TS-color3-men.jpg|ART-0380-TS-color3-women.jpg|ART-0380-TS-color4.jpg|ART-0380-TS-color4-men.jpg|ART-0380-TS-color4-women.jpg|ART-0380-TS-color5.jpg|ART-0380-TS-color5-men.jpg|ART-0380-TS-color5-women.jpg|ART-0380-TS-color6.jpg|ART-0380-TS-color6-men.jpg|ART-0380-TS-color6-women.jpg|ART-0380-TS-color7.jpg|ART-0380-TS-color7-men.jpg|ART-0380-TS-color7-women.jpg|ART-0380-HD-color8.jpg|ART-0380-HD-color8-men.jpg|ART-0380-HD-color8-women.jpg|ART-0380-HD-color2.jpg|ART-0380-HD-color2-men.jpg|ART-0380-HD-color2-women.jpg|ART-0380-HD-color5.jpg|ART-0380-HD-color5-men.jpg|ART-0380-HD-color5-women.jpg|ART-0380-HD-color9.jpg|ART-0380-HD-color9-men.jpg|ART-0380-HD-color9-women.jpg|ART-0380-HD-color10.jpg|ART-0380-HD-color10-men.jpg|ART-0380-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,آقایان,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,ملانژ,3|1|1,M|L|XL|2XL|3XL|M|L|XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,5.0,2,2,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0404-HD,ART-0404-HD,بیکن پرنده,publish,product,product,variable,تفریح و فان>فان,#بیکن|#تخم‌مرغ|#فان,120000,,120000,no,instock,ART-0404-TS-color1.jpg|ART-0404-TS-color1-men.jpg|ART-0404-TS-color1-women.jpg|ART-0404-TS-color2.jpg|ART-0404-TS-color2-men.jpg|ART-0404-TS-color2-women.jpg|ART-0404-TS-color3.jpg|ART-0404-TS-color3-men.jpg|ART-0404-TS-color3-women.jpg|ART-0404-TS-color4.jpg|ART-0404-TS-color4-men.jpg|ART-0404-TS-color4-women.jpg|ART-0404-TS-color5.jpg|ART-0404-TS-color5-men.jpg|ART-0404-TS-color5-women.jpg|ART-0404-TS-color6.jpg|ART-0404-TS-color6-men.jpg|ART-0404-TS-color6-women.jpg|ART-0404-TS-color7.jpg|ART-0404-TS-color7-men.jpg|ART-0404-TS-color7-women.jpg|ART-0404-HD-color8.jpg|ART-0404-HD-color8-men.jpg|ART-0404-HD-color8-women.jpg|ART-0404-HD-color2.jpg|ART-0404-HD-color2-men.jpg|ART-0404-HD-color2-women.jpg|ART-0404-HD-color5.jpg|ART-0404-HD-color5-men.jpg|ART-0404-HD-color5-women.jpg|ART-0404-HD-color9.jpg|ART-0404-HD-color9-men.jpg|ART-0404-HD-color9-women.jpg|ART-0404-HD-color10.jpg|ART-0404-HD-color10-men.jpg|ART-0404-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,آقایان,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,سرمه‌ای,3|1|1,M|L|XL|2XL|3XL|M|L|XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.0,3,3,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0405-HD,ART-0405-HD,بستنی گربه‌ای,publish,product,product,variable,حیوانات جذاب>گربه,#بستنی|#فان,120000,,120000,no,instock,ART-0405-TS-color1.jpg|ART-0405-TS-color1-men.jpg|ART-0405-TS-color1-women.jpg|ART-0405-TS-color2.jpg|ART-0405-TS-color2-men.jpg|ART-0405-TS-color2-women.jpg|ART-0405-TS-color3.jpg|ART-0405-TS-color3-men.jpg|ART-0405-TS-color3-women.jpg|ART-0405-TS-color4.jpg|ART-0405-TS-color4-men.jpg|ART-0405-TS-color4-women.jpg|ART-0405-TS-color5.jpg|ART-0405-TS-color5-men.jpg|ART-0405-TS-color5-women.jpg|ART-0405-TS-color6.jpg|ART-0405-TS-color6-men.jpg|ART-0405-TS-color6-women.jpg|ART-0405-TS-color7.jpg|ART-0405-TS-color7-men.jpg|ART-0405-TS-color7-women.jpg|ART-0405-HD-color8.jpg|ART-0405-HD-color8-men.jpg|ART-0405-HD-color8-women.jpg|ART-0405-HD-color2.jpg|ART-0405-HD-color2-men.jpg|ART-0405-HD-color2-women.jpg|ART-0405-HD-color5.jpg|ART-0405-HD-color5-men.jpg|ART-0405-HD-color5-women.jpg|ART-0405-HD-color9.jpg|ART-0405-HD-color9-men.jpg|ART-0405-HD-color9-women.jpg|ART-0405-HD-color10.jpg|ART-0405-HD-color10-men.jpg|ART-0405-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,نارنجی,3|1|1,M|L|XL|2XL|3XL|M|L|XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.5,6,6,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0406-HD,ART-0406-HD,حال و هوای همیشگی گربه من,publish,product,product,variable,حیوانات جذاب>گربه,#خواب,120000,,120000,no,instock,ART-0406-TS-color1.jpg|ART-0406-TS-color1-men.jpg|ART-0406-TS-color1-women.jpg|ART-0406-TS-color2.jpg|ART-0406-TS-color2-men.jpg|ART-0406-TS-color2-women.jpg|ART-0406-TS-color3.jpg|ART-0406-TS-color3-men.jpg|ART-0406-TS-color3-women.jpg|ART-0406-TS-color4.jpg|ART-0406-TS-color4-men.jpg|ART-0406-TS-color4-women.jpg|ART-0406-TS-color5.jpg|ART-0406-TS-color5-men.jpg|ART-0406-TS-color5-women.jpg|ART-0406-TS-color6.jpg|ART-0406-TS-color6-men.jpg|ART-0406-TS-color6-women.jpg|ART-0406-TS-color7.jpg|ART-0406-TS-color7-men.jpg|ART-0406-TS-color7-women.jpg|ART-0406-HD-color8.jpg|ART-0406-HD-color8-men.jpg|ART-0406-HD-color8-women.jpg|ART-0406-HD-color2.jpg|ART-0406-HD-color2-men.jpg|ART-0406-HD-color2-women.jpg|ART-0406-HD-color5.jpg|ART-0406-HD-color5-men.jpg|ART-0406-HD-color5-women.jpg|ART-0406-HD-color9.jpg|ART-0406-HD-color9-men.jpg|ART-0406-HD-color9-women.jpg|ART-0406-HD-color10.jpg|ART-0406-HD-color10-men.jpg|ART-0406-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,زرشکی,3|1|1,M|L|XL|2XL|3XL|M|L|XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.1,8,8,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0407-HD,ART-0407-HD,آروم و یواش,publish,product,product,variable,حیوانات جذاب>تنبل,#خواب|#فان,120000,,120000,no,instock,ART-0407-TS-color1.jpg|ART-0407-TS-color1-men.jpg|ART-0407-TS-color1-women.jpg|ART-0407-TS-color2.jpg|ART-0407-TS-color2-men.jpg|ART-0407-TS-color2-women.jpg|ART-0407-TS-color3.jpg|ART-0407-TS-color3-men.jpg|ART-0407-TS-color3-women.jpg|ART-0407-TS-color4.jpg|ART-0407-TS-color4-men.jpg|ART-0407-TS-color4-women.jpg|ART-0407-TS-color5.jpg|ART-0407-TS-color5-men.jpg|ART-0407-TS-color5-women.jpg|ART-0407-TS-color6.jpg|ART-0407-TS-color6-men.jpg|ART-0407-TS-color6-women.jpg|ART-0407-TS-color7.jpg|ART-0407-TS-color7-men.jpg|ART-0407-TS-color7-women.jpg|ART-0407-HD-color8.jpg|ART-0407-HD-color8-men.jpg|ART-0407-HD-color8-women.jpg|ART-0407-HD-color2.jpg|ART-0407-HD-color2-men.jpg|ART-0407-HD-color2-women.jpg|ART-0407-HD-color5.jpg|ART-0407-HD-color5-men.jpg|ART-0407-HD-color5-women.jpg|ART-0407-HD-color9.jpg|ART-0407-HD-color9-men.jpg|ART-0407-HD-color9-women.jpg|ART-0407-HD-color10.jpg|ART-0407-HD-color10-men.jpg|ART-0407-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,آقایان,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,نارنجی,3|1|1,M|L|XL|2XL|3XL|M|L|XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.2,4,4,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0408-HD,ART-0408-HD,فندق‌ات رو بنداز,publish,product,product,variable,حیوانات جذاب>گربه,#تفنگ|#فان,120000,,120000,no,instock,ART-0408-TS-color1.jpg|ART-0408-TS-color1-men.jpg|ART-0408-TS-color1-women.jpg|ART-0408-TS-color2.jpg|ART-0408-TS-color2-men.jpg|ART-0408-TS-color2-women.jpg|ART-0408-TS-color3.jpg|ART-0408-TS-color3-men.jpg|ART-0408-TS-color3-women.jpg|ART-0408-TS-color4.jpg|ART-0408-TS-color4-men.jpg|ART-0408-TS-color4-women.jpg|ART-0408-TS-color5.jpg|ART-0408-TS-color5-men.jpg|ART-0408-TS-color5-women.jpg|ART-0408-TS-color6.jpg|ART-0408-TS-color6-men.jpg|ART-0408-TS-color6-women.jpg|ART-0408-TS-color7.jpg|ART-0408-TS-color7-men.jpg|ART-0408-TS-color7-women.jpg|ART-0408-HD-color8.jpg|ART-0408-HD-color8-men.jpg|ART-0408-HD-color8-women.jpg|ART-0408-HD-color2.jpg|ART-0408-HD-color2-men.jpg|ART-0408-HD-color2-women.jpg|ART-0408-HD-color5.jpg|ART-0408-HD-color5-men.jpg|ART-0408-HD-color5-women.jpg|ART-0408-HD-color9.jpg|ART-0408-HD-color9-men.jpg|ART-0408-HD-color9-women.jpg|ART-0408-HD-color10.jpg|ART-0408-HD-color10-men.jpg|ART-0408-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,سرمه‌ای,3|1|1,M|L|XL|2XL|3XL|M|L|XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.7,8,8,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0409-HD,ART-0409-HD,بالاخره همه چی درست میشه,publish,product,product,variable,تفریح و فان>فان,#ساحل|#فان,120000,,120000,no,instock,ART-0409-TS-color1.jpg|ART-0409-TS-color1-men.jpg|ART-0409-TS-color1-women.jpg|ART-0409-TS-color2.jpg|ART-0409-TS-color2-men.jpg|ART-0409-TS-color2-women.jpg|ART-0409-TS-color3.jpg|ART-0409-TS-color3-men.jpg|ART-0409-TS-color3-women.jpg|ART-0409-TS-color4.jpg|ART-0409-TS-color4-men.jpg|ART-0409-TS-color4-women.jpg|ART-0409-TS-color5.jpg|ART-0409-TS-color5-men.jpg|ART-0409-TS-color5-women.jpg|ART-0409-TS-color6.jpg|ART-0409-TS-color6-men.jpg|ART-0409-TS-color6-women.jpg|ART-0409-TS-color7.jpg|ART-0409-TS-color7-men.jpg|ART-0409-TS-color7-women.jpg|ART-0409-HD-color8.jpg|ART-0409-HD-color8-men.jpg|ART-0409-HD-color8-women.jpg|ART-0409-HD-color2.jpg|ART-0409-HD-color2-men.jpg|ART-0409-HD-color2-women.jpg|ART-0409-HD-color5.jpg|ART-0409-HD-color5-men.jpg|ART-0409-HD-color5-women.jpg|ART-0409-HD-color9.jpg|ART-0409-HD-color9-men.jpg|ART-0409-HD-color9-women.jpg|ART-0409-HD-color10.jpg|ART-0409-HD-color10-men.jpg|ART-0409-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,نارنجی,3|1|1,M|L|XL|2XL|3XL|M|L|XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.4,6,6,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0410-HD,ART-0410-HD,دوچرخه سواری اختاپوس,publish,product,product,variable,حیوانات جذاب>غیره,#دوچرخه‌|#اختاپوس,120000,,120000,no,instock,ART-0410-TS-color1.jpg|ART-0410-TS-color1-men.jpg|ART-0410-TS-color1-women.jpg|ART-0410-TS-color2.jpg|ART-0410-TS-color2-men.jpg|ART-0410-TS-color2-women.jpg|ART-0410-TS-color3.jpg|ART-0410-TS-color3-men.jpg|ART-0410-TS-color3-women.jpg|ART-0410-TS-color4.jpg|ART-0410-TS-color4-men.jpg|ART-0410-TS-color4-women.jpg|ART-0410-TS-color5.jpg|ART-0410-TS-color5-men.jpg|ART-0410-TS-color5-women.jpg|ART-0410-TS-color6.jpg|ART-0410-TS-color6-men.jpg|ART-0410-TS-color6-women.jpg|ART-0410-TS-color7.jpg|ART-0410-TS-color7-men.jpg|ART-0410-TS-color7-women.jpg|ART-0410-HD-color8.jpg|ART-0410-HD-color8-men.jpg|ART-0410-HD-color8-women.jpg|ART-0410-HD-color2.jpg|ART-0410-HD-color2-men.jpg|ART-0410-HD-color2-women.jpg|ART-0410-HD-color5.jpg|ART-0410-HD-color5-men.jpg|ART-0410-HD-color5-women.jpg|ART-0410-HD-color9.jpg|ART-0410-HD-color9-men.jpg|ART-0410-HD-color9-women.jpg|ART-0410-HD-color10.jpg|ART-0410-HD-color10-men.jpg|ART-0410-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,زرشکی,3|1|1,M|L|XL|2XL|3XL|M|L|XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.8,2,2,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0411-HD,ART-0411-HD,قهرمان هر روز ما,publish,product,product,variable,تفریح و فان>فان,#قهرمان|#فان,120000,,120000,no,instock,ART-0411-TS-color1.jpg|ART-0411-TS-color1-men.jpg|ART-0411-TS-color1-women.jpg|ART-0411-TS-color2.jpg|ART-0411-TS-color2-men.jpg|ART-0411-TS-color2-women.jpg|ART-0411-TS-color3.jpg|ART-0411-TS-color3-men.jpg|ART-0411-TS-color3-women.jpg|ART-0411-TS-color4.jpg|ART-0411-TS-color4-men.jpg|ART-0411-TS-color4-women.jpg|ART-0411-TS-color5.jpg|ART-0411-TS-color5-men.jpg|ART-0411-TS-color5-women.jpg|ART-0411-TS-color6.jpg|ART-0411-TS-color6-men.jpg|ART-0411-TS-color6-women.jpg|ART-0411-TS-color7.jpg|ART-0411-TS-color7-men.jpg|ART-0411-TS-color7-women.jpg|ART-0411-HD-color8.jpg|ART-0411-HD-color8-men.jpg|ART-0411-HD-color8-women.jpg|ART-0411-HD-color2.jpg|ART-0411-HD-color2-men.jpg|ART-0411-HD-color2-women.jpg|ART-0411-HD-color5.jpg|ART-0411-HD-color5-men.jpg|ART-0411-HD-color5-women.jpg|ART-0411-HD-color9.jpg|ART-0411-HD-color9-men.jpg|ART-0411-HD-color9-women.jpg|ART-0411-HD-color10.jpg|ART-0411-HD-color10-men.jpg|ART-0411-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,نارنجی,3|1|1,M|L|XL|2XL|3XL|M|L|XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.9,6,6,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0412-HD,ART-0412-HD, نجات تنبل,publish,product,product,variable,حیوانات جذاب>تنبل,#چتر,120000,,120000,no,instock,ART-0412-TS-color1.jpg|ART-0412-TS-color1-men.jpg|ART-0412-TS-color1-women.jpg|ART-0412-TS-color2.jpg|ART-0412-TS-color2-men.jpg|ART-0412-TS-color2-women.jpg|ART-0412-TS-color3.jpg|ART-0412-TS-color3-men.jpg|ART-0412-TS-color3-women.jpg|ART-0412-TS-color4.jpg|ART-0412-TS-color4-men.jpg|ART-0412-TS-color4-women.jpg|ART-0412-TS-color5.jpg|ART-0412-TS-color5-men.jpg|ART-0412-TS-color5-women.jpg|ART-0412-TS-color6.jpg|ART-0412-TS-color6-men.jpg|ART-0412-TS-color6-women.jpg|ART-0412-TS-color7.jpg|ART-0412-TS-color7-men.jpg|ART-0412-TS-color7-women.jpg|ART-0412-HD-color8.jpg|ART-0412-HD-color8-men.jpg|ART-0412-HD-color8-women.jpg|ART-0412-HD-color2.jpg|ART-0412-HD-color2-men.jpg|ART-0412-HD-color2-women.jpg|ART-0412-HD-color5.jpg|ART-0412-HD-color5-men.jpg|ART-0412-HD-color5-women.jpg|ART-0412-HD-color9.jpg|ART-0412-HD-color9-men.jpg|ART-0412-HD-color9-women.jpg|ART-0412-HD-color10.jpg|ART-0412-HD-color10-men.jpg|ART-0412-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,آقایان,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,نارنجی,3|1|1,M|L|XL|2XL|3XL|M|L|XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.9,9,9,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0413-HD,ART-0413-HD,استتار پیتزایی,publish,product,product,variable,شکم باز>غذا و تنقلات,#پیتزا,120000,,120000,no,instock,ART-0413-TS-color1.jpg|ART-0413-TS-color1-men.jpg|ART-0413-TS-color1-women.jpg|ART-0413-TS-color2.jpg|ART-0413-TS-color2-men.jpg|ART-0413-TS-color2-women.jpg|ART-0413-TS-color3.jpg|ART-0413-TS-color3-men.jpg|ART-0413-TS-color3-women.jpg|ART-0413-TS-color4.jpg|ART-0413-TS-color4-men.jpg|ART-0413-TS-color4-women.jpg|ART-0413-TS-color5.jpg|ART-0413-TS-color5-men.jpg|ART-0413-TS-color5-women.jpg|ART-0413-TS-color6.jpg|ART-0413-TS-color6-men.jpg|ART-0413-TS-color6-women.jpg|ART-0413-TS-color7.jpg|ART-0413-TS-color7-men.jpg|ART-0413-TS-color7-women.jpg|ART-0413-HD-color8.jpg|ART-0413-HD-color8-men.jpg|ART-0413-HD-color8-women.jpg|ART-0413-HD-color2.jpg|ART-0413-HD-color2-men.jpg|ART-0413-HD-color2-women.jpg|ART-0413-HD-color5.jpg|ART-0413-HD-color5-men.jpg|ART-0413-HD-color5-women.jpg|ART-0413-HD-color9.jpg|ART-0413-HD-color9-men.jpg|ART-0413-HD-color9-women.jpg|ART-0413-HD-color10.jpg|ART-0413-HD-color10-men.jpg|ART-0413-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,نارنجی,3|1|1,M|L|XL|2XL|3XL|M|L|XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.1,6,6,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
